"Reference","Qty","Value","Footprint","TME","LCSC"
"C1","1","1u","Capacitor_SMD:C_0603_1608Metric","","C29936"
"C2,C3,C6","3","4.7u","Capacitor_SMD:C_1206_3216Metric","","C51205"
"C4,C5","2","47u","Capacitor_SMD:C_1210_3225Metric","","C84494"
"P1","1","USB_C_Plug","Connector_USB:USB_C_Plug_Molex_105444","MX-105444-0001",""
"R1,R4","2","10k","Resistor_SMD:R_0402_1005Metric","","C2906861"
"R2","1","40k","Resistor_SMD:R_0402_1005Metric","","C49654409"
"R3","1","13k","Resistor_SMD:R_0402_1005Metric","","C2909319"
"R5,R6","2","0","Resistor_SMD:R_0805_2012Metric","","C2907215"
"U1","1","TPSM63603","B0QFN30:B0QFN30","","C5219327"
